SampleID	SampleType
F10B	Buccal
F10C	Cloaca
F10X	Control
F11B	Buccal
F11C	Cloaca
F11X	Control
F12B	Buccal
F12C	Cloaca
F12X	Control
F13B	Buccal
F13C	Cloaca
F13X	Control
F14B	Buccal
F14C	Cloaca
F14X	Control
F1B	Buccal
F1C	Cloaca
F1X	Control
F2B	Buccal
F2C	Cloaca
F2X	Control
F3B	Buccal
F3C	Cloaca
F3X	Control
F4B	Buccal
F4C	Cloaca
F4X	Control
F5B	Buccal
F5C	Cloaca
F5X	Control
F6B	Buccal
F6C	Cloaca
F6X	Control
F7B	Buccal
F7C	Cloaca
F7X	Control
F8B	Buccal
F8C	Cloaca
F8X	Control
F9B	Buccal
F9C	Cloaca
F9X	Control
N1X	Control
N2B	Buccal
N2C	Cloaca
N2X	Control
N3B	Buccal
N3C	Cloaca
N3X	Control
N4B	Buccal
N4C	Cloaca
N4X	Control
N5B	Buccal
N5C	Cloaca
N5X	Control
N6B	Buccal
N6C	Cloaca
N6X	Control
N7B	Buccal
N7C	Cloaca
N7X	Control
N8B	Buccal
N8C	Cloaca
N8X	Control
N9B	Buccal
N9C	Cloaca
N9X	Control
N10C	Cloaca
N10X	Control
N11B	Buccal
N11C	Cloaca
N11X	Control
